steamid,personaname,profileurl,time_created,country,state,city
76561197997695591,mitsuhiko,https://steamcommunity.com/id/mitsuhiko/,Wed Apr  2 08:15:00 2008,,,
76561198004112256,Luci,https://steamcommunity.com/id/lucian1900/,Thu Dec 18 12:28:25 2008,,,
76561198005033693,Barroman,https://steamcommunity.com/id/juanmihd/,,,,
76561198008201992,Toomic,https://steamcommunity.com/id/Toomic/,Mon Mar 23 07:07:14 2009,United Kingdom (Great Britain),Bromley,
76561198012588479,B C O G,https://steamcommunity.com/profiles/76561198012588479/,Fri Aug  7 16:50:15 2009,United Kingdom (Great Britain),,
76561198014947010,calader,https://steamcommunity.com/profiles/76561198014947010/,Wed Oct 28 19:45:39 2009,,,
76561198020694794,Meiling,https://steamcommunity.com/profiles/76561198020694794/,,,,
76561198027706319,Naxxus,https://steamcommunity.com/profiles/76561198027706319/,Thu Jul 15 11:50:37 2010,,,
76561198028114685,Mondoo,https://steamcommunity.com/id/mondocondo/,Sat Jul 24 18:20:12 2010,United Kingdom (Great Britain),Northamptonshire,Northampton
76561198034311902,-Makolicious,https://steamcommunity.com/id/Mcmammoth/,Sun Nov 28 10:42:21 2010,United Kingdom (Great Britain),,
76561198036865699,M---E,https://steamcommunity.com/id/ma55ey/,Sat Jan 15 15:42:32 2011,United Kingdom (Great Britain),,
76561198040095184,SRSKap,https://steamcommunity.com/profiles/76561198040095184/,,,,
76561198042126232,Popey,https://steamcommunity.com/id/Popeys/,Thu May 19 14:05:49 2011,United Kingdom (Great Britain),Somerset,
76561198055890339,KoP,https://steamcommunity.com/id/Blutzen/,,,,
76561198086753880,Kalixeron,https://steamcommunity.com/id/MuffyDFGRuttley/,Thu Mar 21 05:57:40 2013,United Kingdom (Great Britain),Greater London,
76561198095369100,ZadrackSaria,https://steamcommunity.com/id/ZadrackSaria/,Sun Jun 23 07:32:31 2013,United Kingdom (Great Britain),Greater London,
76561198095432643,[FT]Luci,https://steamcommunity.com/id/ft_lucian/,,,,
76561198164032450,AK,https://steamcommunity.com/id/TheTruest7/,Thu Nov 20 04:23:08 2014,,,
76561198164144372,Draska,https://steamcommunity.com/id/McGavin006/,Thu Nov 20 05:07:32 2014,,,
76561198164147005,Smooth,https://steamcommunity.com/id/McGavin009/,Thu Nov 20 05:21:21 2014,,,
76561198164189201,Judge D,https://steamcommunity.com/id/McGavin016/,Thu Nov 20 06:05:40 2014,,,
76561198164190401,The White Lycan,https://steamcommunity.com/id/McGavin019/,Thu Nov 20 06:18:33 2014,,,
76561198164244077,Exedore,https://steamcommunity.com/id/McGavin003/,,,,
76561198164279790,DaveJ,https://steamcommunity.com/id/McGavin013/,,,,
76561198166299941,RostrumSD,https://steamcommunity.com/profiles/76561198166299941/,Thu Dec  4 07:21:31 2014,,,
76561198166357445,FL_FIND_ME,https://steamcommunity.com/profiles/76561198166357445/,Thu Dec  4 07:18:31 2014,,,
76561198166375798,TATATATAZ,https://steamcommunity.com/profiles/76561198166375798/,Thu Dec  4 07:19:52 2014,,,
76561198166447857,Barroman,https://steamcommunity.com/profiles/76561198166447857/,Thu Dec  4 07:57:49 2014,,,
76561198206783523,Mcgavin059,https://steamcommunity.com/profiles/76561198206783523/,Mon Jul 13 09:18:25 2015,,,
76561198206976695,Brownasaurus,https://steamcommunity.com/profiles/76561198206976695/,Tue Jul 14 11:26:05 2015,,,
76561198207086789,MassE,https://steamcommunity.com/id/ElEnigma/,,,,
76561198207151535,BurntKona,https://steamcommunity.com/profiles/76561198207151535/,Wed Jul 15 05:14:19 2015,,,
76561198262151811,>_<,https://steamcommunity.com/profiles/76561198262151811/,,,,
76561198305612789,Fake_Makolicious,https://steamcommunity.com/profiles/76561198305612789/,Wed May 18 13:25:11 2016,,,
76561198306200282,[SD] Skarregaard,https://steamcommunity.com/profiles/76561198306200282/,Wed May 18 07:36:30 2016,,,
76561198306258144,"urldecode($_SERVER[""REQUEST_URI""",https://steamcommunity.com/profiles/76561198306258144/,Wed May 18 14:06:50 2016,,,
76561197960269626,Samizul,https://steamcommunity.com/id/sammyl/,Fri Sep 12 02:24:49 2003,United States,California,Los Angeles
76561197960269688,MeenMunky,https://steamcommunity.com/id/meenmunky/,Fri Sep 12 02:28:22 2003,United States,,
76561197960269874,Iwannaacura,https://steamcommunity.com/id/soybean/,Fri Sep 12 02:36:39 2003,United States,Washington,Seattle
76561197960269902,sigpro,https://steamcommunity.com/id/sigpro/,Fri Sep 12 02:37:26 2003,,,
76561197960271083,Junoballs J. Frog,https://steamcommunity.com/id/junosword/,Fri Sep 12 02:50:10 2003,United States,Washington,
76561197960271495,HiRez,https://steamcommunity.com/id/highrez/,Fri Sep 12 02:54:03 2003,United States,California,
76561197960275716,CrimsonHandHiro,https://steamcommunity.com/id/crimsonhandhiro/,,,,
76561197960281313,Whiteshack,https://steamcommunity.com/id/Whiteshack/,Fri Sep 12 04:22:28 2003,Canada,,
76561197960287506,SeXpansion,https://steamcommunity.com/id/sexpansion/,Fri Sep 12 05:05:29 2003,United States,,
76561197960296864,maulla,https://steamcommunity.com/id/maulla/,Fri Sep 12 05:53:58 2003,United States,Ohio,Cleveland
76561197960297457,Metal[666],https://steamcommunity.com/id/66Metal66/,Fri Sep 12 05:58:31 2003,United States,Michigan,Detroit
76561197960301086,Malcolm Crum,https://steamcommunity.com/id/crummy/,Fri Sep 12 06:16:55 2003,United States,California,
76561197960307672,BanjoBob,https://steamcommunity.com/id/ninjamoo/,Fri Sep 12 06:53:10 2003,Canada,Ontario,Toronto
76561197960316159,AriGold,https://steamcommunity.com/id/aristotle_d/,Fri Sep 12 07:37:32 2003,,,
